census_year,age_group,total_pop,total_percent,male_total,male_percent,female_total,female_percent
2015,All ages,316168000,100,154815000,100,161353000,100
2015,Under 5 years,19901000,6.3,10170000,6.6,9731000,6
2015,5 to 9 years,20473000,6.5,10453000,6.8,10020000,6.2
2015,10 to 14 years,20606000,6.5,10494000,6.8,10113000,6.3
2015,15 to 19 years,20840000,6.6,10609000,6.9,10231000,6.3
2015,20 to 24 years,22215000,7,11201000,7.2,11014000,6.8
2015,25 to 29 years,21867000,6.9,10984000,7.1,10884000,6.7
2015,30 to 34 years,21139000,6.7,10444000,6.7,10695000,6.6
2015,35 to 39 years,19916000,6.3,9830000,6.3,10086000,6.3
2015,40 to 44 years,20003000,6.3,9791000,6.3,10212000,6.3
2015,45 to 49 years,20563000,6.5,10098000,6.5,10465000,6.5
2015,50 to 54 years,22233000,7,10846000,7,11387000,7.1
2015,55 to 59 years,21419000,6.8,10328000,6.7,11090000,6.9
2015,60 to 64 years,18998000,6,9128000,5.9,9870000,6.1
2015,65 to 69 years,15728000,5,7391000,4.8,8337000,5.2
2015,70 to 74 years,11209000,3.5,5163000,3.3,6046000,3.7
2015,75 to 79 years,8002000,2.5,3580000,2.3,4422000,2.7
2015,80 to 84 years,5480000,1.7,2318000,1.5,3161000,2
2015,85 years and over,5575000,1.8,1986000,1.3,3589000,2.2
2015,Under 15 years,60980000,19.3,31116000,20.1,29864000,18.5
2015,15 to 17 years,12940000,4.1,6647000,4.3,6293000,3.9
2015,18 to 20 years,12182000,3.9,6205000,4,5977000,3.7
2015,21 to 44 years,100858000,31.9,50006000,32.3,50852000,31.5
2015,45 to 64 years,83213000,26.3,40400000,26.1,42813000,26.5
2015,65 years and over,45994000,14.5,20439000,13.2,25555000,15.8
2016,All ages,318868000,100,156205000,100,162664000,100
2016,Under 5 years,19923000,6.2,10186000,6.5,9737000,6
2016,5 to 9 years,20469000,6.4,10449000,6.7,10020000,6.2
2016,10 to 14 years,20573000,6.5,10478000,6.7,10094000,6.2
2016,15 to 19 years,20915000,6.6,10630000,6.8,10285000,6.3
2016,20 to 24 years,21973000,6.9,11089000,7.1,10884000,6.7
2016,25 to 29 years,22434000,7,11287000,7.2,11146000,6.9
2016,30 to 34 years,21329000,6.7,10558000,6.8,10771000,6.6
2016,35 to 39 years,20387000,6.4,10056000,6.4,10331000,6.4
2016,40 to 44 years,19618000,6.2,9644000,6.2,9974000,6.1
2016,45 to 49 years,20679000,6.5,10127000,6.5,10552000,6.5
2016,50 to 54 years,21887000,6.9,10712000,6.9,11174000,6.9
2016,55 to 59 years,21835000,6.8,10626000,6.8,11209000,6.9
2016,60 to 64 years,19300000,6.1,9153000,5.9,10148000,6.2
2016,65 to 69 years,16517000,5.2,7775000,5,8742000,5.4
2016,70 to 74 years,11425000,3.6,5186000,3.3,6239000,3.8
2016,75 to 79 years,8421000,2.6,3854000,2.5,4567000,2.8
2016,80 to 84 years,5637000,1.8,2400000,1.5,3237000,2
2016,85 years and over,5547000,1.7,1995000,1.3,3552000,2.2
2016,Under 15 years,60965000,19.1,31114000,19.9,29851000,18.4
2016,15 to 17 years,13097000,4.1,6624000,4.2,6473000,4
2016,18 to 20 years,12354000,3.9,6368000,4.1,5985000,3.7
2016,21 to 44 years,101205000,31.7,50272000,32.2,50934000,31.3
2016,45 to 64 years,83701000,26.2,40618000,26,43083000,26.5
2016,65 years and over,47547000,14.9,21209000,13.6,26337000,16.2
2018,All ages,323156000,100,158426000,100,164730000,100
2018,Under 5 years,19929000,6.2,10193000,6.4,9736000,5.9
2018,5 to 9 years,20243000,6.3,10338000,6.5,9905000,6
2018,10 to 14 years,20812000,6.4,10607000,6.7,10204000,6.2
2018,15 to 19 years,20908000,6.5,10617000,6.7,10291000,6.2
2018,20 to 24 years,21434000,6.6,10809000,6.8,10625000,6.4
2018,25 to 29 years,23160000,7.2,11674000,7.4,11486000,7
2018,30 to 34 years,21695000,6.7,10816000,6.8,10878000,6.6
2018,35 to 39 years,21269000,6.6,10567000,6.7,10701000,6.5
2018,40 to 44 years,19391000,6,9504000,6,9887000,6
2018,45 to 49 years,20638000,6.4,10123000,6.4,10515000,6.4
2018,50 to 54 years,20899000,6.5,10217000,6.4,10682000,6.5
2018,55 to 59 years,21622000,6.7,10503000,6.6,11120000,6.8
2018,60 to 64 years,20078000,6.2,9399000,5.9,10679000,6.5
2018,65 to 69 years,17007000,5.3,8047000,5.1,8961000,5.4
2018,70 to 74 years,13359000,4.1,6294000,4,7066000,4.3
2018,75 to 79 years,8912000,2.8,3944000,2.5,4968000,3
2018,80 to 84 years,5647000,1.7,2506000,1.6,3141000,1.9
2018,85 years and over,6154000,1.9,2270000,1.4,3885000,2.4
2018,Under 15 years,60984000,18.9,31138000,19.7,29846000,18.1
2018,15 to 17 years,12979000,4,6582000,4.2,6397000,3.9
2018,18 to 20 years,12243000,3.8,6248000,3.9,5996000,3.6
2018,21 to 44 years,102633000,31.8,51157000,32.3,51476000,31.2
2018,45 to 64 years,83237000,25.8,40242000,25.4,42995000,26.1
2018,65 years and over,51080000,15.8,23059000,14.6,28021000,17
2017,All ages,320372000,100,156939000,100,163433000,100
2017,Under 5 years,19954000,6.2,10201000,6.5,9752000,6
2017,5 to 9 years,20349000,6.4,10388000,6.6,9961000,6.1
2017,10 to 14 years,20667000,6.5,10538000,6.7,10129000,6.2
2017,15 to 19 years,20891000,6.5,10608000,6.8,10282000,6.3
2017,20 to 24 years,21591000,6.7,10879000,6.9,10713000,6.6
2017,25 to 29 years,22745000,7.1,11410000,7.3,11335000,6.9
2017,30 to 34 years,21505000,6.7,10711000,6.8,10795000,6.6
2017,35 to 39 years,20773000,6.5,10281000,6.6,10492000,6.4
2017,40 to 44 years,19273000,6,9454000,6,9819000,6
2017,45 to 49 years,20662000,6.4,10118000,6.4,10543000,6.5
2017,50 to 54 years,21364000,6.7,10449000,6.7,10915000,6.7
2017,55 to 59 years,21837000,6.8,10587000,6.7,11250000,6.9
2017,60 to 64 years,19488000,6.1,9154000,5.8,10334000,6.3
2017,65 to 69 years,16750000,5.2,7907000,5,8843000,5.4
2017,70 to 74 years,12462000,3.9,5759000,3.7,6702000,4.1
2017,75 to 79 years,8545000,2.7,3877000,2.5,4668000,2.9
2017,80 to 84 years,5645000,1.8,2438000,1.6,3207000,2
2017,85 years and over,5872000,1.8,2178000,1.4,3694000,2.3
2017,Under 15 years,60969000,19,31127000,19.8,29842000,18.3
2017,15 to 17 years,13078000,4.1,6642000,4.2,6436000,3.9
2017,18 to 20 years,11983000,3.7,6131000,3.9,5852000,3.6
2017,21 to 44 years,101718000,31.7,50570000,32.2,51147000,31.3
2017,45 to 64 years,83351000,26,40308000,25.7,43042000,26.3
2017,65 years and over,49274000,15.4,22160000,14.1,27114000,16.6
2013,All ages,311116000,100,152335000,100,158781000,100
2013,Under 5 years,19917000,6.4,10176000,6.7,9741000,6.1
2013,5 to 9 years,20536000,6.6,10490000,6.9,10046000,6.3
2013,10 to 14 years,20640000,6.6,10558000,6.9,10082000,6.3
2013,15 to 19 years,20970000,6.7,10672000,7,10299000,6.5
2013,20 to 24 years,22153000,7.1,11134000,7.3,11019000,6.9
2013,25 to 29 years,21138000,6.8,10628000,7,10510000,6.6
2013,30 to 34 years,20659000,6.6,10189000,6.7,10470000,6.6
2013,35 to 39 years,19221000,6.2,9461000,6.2,9759000,6.1
2013,40 to 44 years,20657000,6.6,10162000,6.7,10495000,6.6
2013,45 to 49 years,21060000,6.8,10319000,6.8,10742000,6.8
2013,50 to 54 years,22386000,7.2,10926000,7.2,11460000,7.2
2013,55 to 59 years,20880000,6.7,10099000,6.6,10781000,6.8
2013,60 to 64 years,17611000,5.7,8224000,5.4,9387000,5.9
2013,65 to 69 years,14437000,4.6,6900000,4.5,7537000,4.7
2013,70 to 74 years,10264000,3.3,4704000,3.1,5561000,3.5
2013,75 to 79 years,7598000,2.4,3233000,2.1,4364000,2.7
2013,80 to 84 years,5692000,1.8,2490000,1.6,3202000,2
2013,85 years and over,5296000,1.7,1971000,1.3,3325000,2.1
2013,Under 15 years,61093000,19.6,31224000,20.5,29869000,18.8
2013,15 to 17 years,13094000,4.2,6664000,4.4,6430000,4
2013,18 to 20 years,12136000,3.9,6121000,4,6015000,3.8
2013,21 to 44 years,99569000,32,49461000,32.5,50107000,31.6
2013,45 to 64 years,81937000,26.3,39568000,26,42370000,26.7
2013,65 years and over,43287000,13.9,19298000,12.7,23990000,15.1
2014,All ages,313401000,100,153595000,100,159806000,100
2014,Under 5 years,19865000,6.3,10154000,6.6,9711000,6.1
2014,5 to 9 years,20522000,6.5,10483000,6.8,10039000,6.3
2014,10 to 14 years,20642000,6.6,10545000,6.9,10097000,6.3
2014,15 to 19 years,20807000,6.6,10585000,6.9,10221000,6.4
2014,20 to 24 years,22278000,7.1,11243000,7.3,11035000,6.9
2014,25 to 29 years,21474000,6.9,10822000,7,10653000,6.7
2014,30 to 34 years,20974000,6.7,10377000,6.8,10598000,6.6
2014,35 to 39 years,19407000,6.2,9555000,6.2,9852000,6.2
2014,40 to 44 years,20382000,6.5,10037000,6.5,10345000,6.5
2014,45 to 49 years,20668000,6.6,10148000,6.6,10520000,6.6
2014,50 to 54 years,22355000,7.1,10908000,7.1,11447000,7.2
2014,55 to 59 years,21109000,6.7,10193000,6.6,10916000,6.8
2014,60 to 64 years,18440000,5.9,8812000,5.7,9627000,6
2014,65 to 69 years,14986000,4.8,7093000,4.6,7893000,4.9
2014,70 to 74 years,10805000,3.4,4980000,3.2,5825000,3.6
2014,75 to 79 years,7804000,2.5,3374000,2.2,4429000,2.8
2014,80 to 84 years,5627000,1.8,2383000,1.6,3244000,2
2014,85 years and over,5255000,1.7,1901000,1.2,3354000,2.1
2014,Under 15 years,61029000,19.5,31182000,20.3,29847000,18.7
