,age_recode27_def
1,"Under 1 month (includes not stated weeks, days, hours, and minutes) "
2,1 month - 11 months (includes not stated months) 
3,1 year 
4,2 years 
5,3 years 
6,4 years 
7,5 - 9 years 
8,10 - 14 years 
9,15 - 19 years 
10,20 - 24 years 
11,25 - 29 years 
12,30 - 34 years 
13,35 - 39 years 
14,40 - 44 years 
15,45 - 49 years 
16,50 - 54 years 
17,55 - 59 years 
18,60 - 64 years 
19,65 - 69 years 
20,70 - 74 years 
21,75 - 79 years 
22,80 - 84 years 
23,85 - 89 years 
24,90 - 94 years 
25,95 - 99 years 
26,100 years and over 
